"","Location","dt","Avg.Tem","Avg.Vol"
"273","Bulgaria",1775-09-01,17.261,3.296
"274","Bulgaria",1775-10-01,13.09,3.049
"275","Bulgaria",1775-11-01,8.183,6.071
"276","Bulgaria",1775-12-01,0.137,2.403
"277","Bulgaria",1776-01-01,-3.639,5.056
"278","Bulgaria",1776-02-01,2.719,3.588
"279","Bulgaria",1776-03-01,5.107,3.383
"280","Bulgaria",1776-04-01,8.983,2.314
"281","Bulgaria",1776-05-01,13.909,3.532
"282","Bulgaria",1776-06-01,19.334,3.584
"283","Bulgaria",1776-07-01,20.855,2.827
"284","Bulgaria",1776-08-01,21.583,4.157
"285","Bulgaria",1776-09-01,15.868,3.111
"286","Bulgaria",1776-10-01,10.05,3.282
"287","Bulgaria",1776-11-01,5.285,5.063
"288","Bulgaria",1776-12-01,1.203,3.654
"289","Bulgaria",1777-01-01,0.455,3.638
"290","Bulgaria",1777-02-01,1.399,3.573
"291","Bulgaria",1777-03-01,5.249,2.518
"292","Bulgaria",1777-04-01,7.504,2.345
"293","Bulgaria",1777-05-01,15.187,3.474
"294","Bulgaria",1777-06-01,18.441,3.039
"295","Bulgaria",1777-07-01,19.41,2.465
"296","Bulgaria",1777-08-01,20.229,2.332
"297","Bulgaria",1777-09-01,15.947,4.391
"298","Bulgaria",1777-10-01,9.706,4.612
"299","Bulgaria",1777-11-01,6.464,2.619
"300","Bulgaria",1777-12-01,1.419,2.886
"301","Bulgaria",1778-01-01,1.546,3.963
"302","Bulgaria",1778-02-01,1.623,3.301
"303","Bulgaria",1778-03-01,4.696,4.089
"304","Bulgaria",1778-04-01,12.59,2.296
"305","Bulgaria",1778-05-01,15.581,3.095
"306","Bulgaria",1778-06-01,17.936,5.356
"307","Bulgaria",1778-07-01,22.274,2.35
"308","Bulgaria",1778-08-01,20.487,3.078
"309","Bulgaria",1778-09-01,17.209,2.221
"310","Bulgaria",1778-10-01,10.736,5.314
"311","Bulgaria",1778-11-01,5.237,4.303
"312","Bulgaria",1778-12-01,2.815,3.187
"313","Bulgaria",1779-01-01,-2.555,3.378
"314","Bulgaria",1779-02-01,3.336,7.102
"315","Bulgaria",1779-03-01,6.136,3.572
"316","Bulgaria",1779-04-01,11.935,3.822
"317","Bulgaria",1779-05-01,17.834,2.426
"318","Bulgaria",1779-06-01,17.282,3.598
"319","Bulgaria",1779-07-01,19.484,2.902
"320","Bulgaria",1779-08-01,20.13,3.6
"321","Bulgaria",1779-09-01,17.461,3.14
"322","Bulgaria",1779-10-01,11.995,3.471
"323","Bulgaria",1779-11-01,6.737,2.593
"324","Bulgaria",1779-12-01,3.844,7.767
"325","Bulgaria",1780-01-01,-1.06,5.115
"326","Bulgaria",1780-02-01,-0.522,3.49
"327","Bulgaria",1780-03-01,6.295,2.281
"328","Bulgaria",1780-04-01,11.621,2.821
"329","Bulgaria",1780-05-01,17.697,3.067
"330","Bulgaria",1780-06-01,19.539,4.889
"331","Bulgaria",1780-07-01,21.589,2.775
"332","Bulgaria",1780-08-01,19.391,4.709
"333","Bulgaria",1780-09-01,14.487,3.982
"334","Bulgaria",1780-10-01,12.55,2.585
"335","Bulgaria",1780-11-01,7.367,2.786
"336","Bulgaria",1780-12-01,-0.391,2.591
"337","Bulgaria",1781-01-01,-0.849,6.738
"338","Bulgaria",1781-02-01,0.185,9.415
"339","Bulgaria",1781-03-01,4.583,2.297
"340","Bulgaria",1781-04-01,9.728,2.836
"341","Bulgaria",1781-05-01,15.757,3.174
"342","Bulgaria",1781-06-01,19.025,2.367
"343","Bulgaria",1781-07-01,21.952,3.347
"344","Bulgaria",1781-08-01,22.966,2.193
"345","Bulgaria",1781-09-01,17.68,5.602
"346","Bulgaria",1781-10-01,10.051,1.992
"347","Bulgaria",1781-11-01,8.038,2.906
"348","Bulgaria",1781-12-01,0.96,6.021
"349","Bulgaria",1782-01-01,-1.055,4.296
"350","Bulgaria",1782-02-01,-3.205,7.726
"351","Bulgaria",1782-03-01,3.426,2.425
"352","Bulgaria",1782-04-01,9.644,4.378
"353","Bulgaria",1782-05-01,14.956,3.829
"354","Bulgaria",1782-06-01,19.37,3.267
"355","Bulgaria",1782-07-01,22.384,5.219
"356","Bulgaria",1782-08-01,22.32,3.635
"357","Bulgaria",1782-09-01,16.87,3.486
"358","Bulgaria",1782-10-01,11.058,4.398
"359","Bulgaria",1782-11-01,4.746,7.497
"360","Bulgaria",1782-12-01,0.139,5.938
"361","Bulgaria",1783-01-01,-1.631,7.727
"362","Bulgaria",1783-02-01,4.103,4.787
"363","Bulgaria",1783-03-01,4.266,2.93
"364","Bulgaria",1783-04-01,9.34,2.302
"365","Bulgaria",1783-05-01,17.065,4.673
"366","Bulgaria",1783-06-01,20.511,2.393
"367","Bulgaria",1783-07-01,20.343,2.74
"368","Bulgaria",1783-08-01,21.596,2.493
"369","Bulgaria",1783-09-01,16.964,4.157
"370","Bulgaria",1783-10-01,11.308,4.013
"371","Bulgaria",1783-11-01,3.615,2.943
